WWII_ID,MASTER_INDEX_NUMBER,MSNDATE,THEATER,NAF,COUNTRY_FLYING_MISSION,TGT_COUNTRY_CODE,TGT_COUNTRY,TGT_LOCATION,TGT_TYPE,TGT_ID,TGT_INDUSTRY_CODE,TGT_INDUSTRY,SOURCE_LATITUDE,SOURCE_LONGITUDE,LATITUDE,LONGITUDE,UNIT_ID,MDS,AIRCRAFT_NAME,MSN_TYPE,TGT_PRIORITY,TGT_PRIORITY_EXPLANATION,AC_ATTACKING,ALTITUDE,ALTITUDE_FEET,NUMBER_OF_HE,TYPE_OF_HE,LBS_HE,TONS_OF_HE,NUMBER_OF_IC,TYPE_OF_IC,LBS_IC,TONS_OF_IC,NUMBER_OF_FRAG,TYPE_OF_FRAG,LBS_FRAG,TONS_OF_FRAG,TOTAL_LBS,TOTAL_TONS,TAKEOFF_BASE,TAKEOFF_COUNTRY,TAKEOFF_LATITUDE,TAKEOFF_LONGITUDE,AC_LOST,AC_DAMAGED,AC_AIRBORNE,AC_DROPPING,TIME_OVER_TARGET,SIGHTING_METHOD_CODE,SIGHTING_EXPLANATION,BDA,CALLSIGN,ROUNDS_AMMO,SPARES_RETURN_AC,WX_FAIL_AC,MECH_FAIL_AC,MISC_FAIL_AC,TARGET_COMMENT,MISSION_COMMENTS,SOURCE,DATABASE_EDIT_COMMENTS
155636,8118,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,FOROK,VILLAGE,,,,340,14345,-3.666666667,143.75,69 FS,P47,P47,1,1,,4,70,7000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155631,12825,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,WEWAK,TOWN AREA,,,,335,14340,-3.583333333,143.6666667,69 FS,P47,P47,1,1,,4,70,7000,8,500 LB GP (GP-M43/M64),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
155634,12715,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,WEWAK,UNIDENTIFIED TARGET,,,,335,14340,-3.583333333,143.6666667,311 FS,P47,P47,1,1,,4,70,7000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155635,12716,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,WEWAK,UNIDENTIFIED TARGET,,,,335,14340,-3.583333333,143.6666667,311 FS,P47,P47,1,1,,4,70,7000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155919,12714,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,WEWAK,UNIDENTIFIED TARGET,,,,335,14340,-3.583333333,143.6666667,110 FS,P39,P39,10,1,,,,0,,250 LB GP (GP-M57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155632,10512,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,MUSHU ISLAND,UNIDENTIFIED TARGET,,,,325,14335,-3.416666667,143.5833333,69 FS,P47,P47,1,1,,4,70,7000,8,500 LB GP (GP-M43/M64),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
155633,10513,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,MUSHU ISLAND,UNIDENTIFIED TARGET,,,,325,14335,-3.416666667,143.5833333,310 FS,P47,P47,1,1,,4,70,7000,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155854,9562,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,LUAIN,UNIDENTIFIED TARGET,,,,321,14256,-3.35,142.9333333,110 FS,P39,P39,10,1,,,,0,0,500 LB GP (GP-M43/M64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155917,9561,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,LUAIN,UNIDENTIFIED TARGET,,,,321,14256,-3.35,142.9333333,110 FS,P39,P39,10,1,,2,1,100,,250 LB GP (GP-M57),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155595,7553,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,CHAROV,VILLAGES,,,,320,14244,-3.333333333,142.7333333,673 S,A20,A20,1,1,,11,35,3500,48,500 LB GP (GP-M43/M64),,12,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
